time,A,B
0.00,17.027076,0.381758
0.05,17.468174,0.574013
0.10,17.919325,0.767836
0.15,18.380946,0.963266
0.20,18.853477,1.160340
0.25,19.337376,1.359100
0.30,19.833130,1.559587
0.35,20.341247,1.761844
0.40,20.862267,1.965915
0.45,21.396754,2.171847
0.50,21.945303,2.379687
0.55,22.508542,2.589483
0.60,23.087133,2.801287
0.65,23.681770,3.015151
0.70,24.293189,3.231129
0.75,24.922160,3.449277
0.80,25.569500,3.669653
0.85,26.236064,3.892318
0.90,26.922756,4.117334
0.95,27.630527,4.344764
1.00,28.360377,4.574676
1.05,29.113357,4.807140
1.10,29.890574,5.042226
1.15,30.693189,5.280009
1.20,31.522421,5.520566
1.25,32.379546,5.763978
1.30,33.265901,6.010328
1.35,34.182882,6.259701
1.40,35.131946,6.512188
1.45,36.114607,6.767881
1.50,37.132438,7.026877
1.55,38.187066,7.289277
1.60,39.280165,7.555185
1.65,40.413456,7.824710
1.70,41.588695,8.097965
1.75,42.807662,8.375068
1.80,44.072150,8.656141
1.85,45.383950,8.941312
1.90,46.744827,9.230714
1.95,48.156503,9.524485
2.00,49.620624,9.822771
2.05,51.138730,10.125722
2.10,52.712222,10.433495
2.15,54.342312,10.746254
2.20,56.029985,11.064170
2.25,57.775946,11.387423
2.30,59.580563,11.716200
2.35,61.443816,12.050696
2.40,63.365236,12.391115
2.45,65.343852,12.737671
2.50,67.378137,13.090587
2.55,69.465964,13.450099
2.60,71.604571,13.816450
2.65,73.790538,14.189898
2.70,76.019783,14.570712
2.75,78.287574,14.959174
2.80,80.588568,15.355579
2.85,82.916862,15.760238
2.90,85.266079,16.173476
2.95,87.629464,16.595636
3.00,90.000000,17.027076
3.05,87.629464,17.468174
3.10,85.266079,17.919325
3.15,82.916862,18.380946
3.20,80.588568,18.853477
3.25,78.287574,19.337376
3.30,76.019783,19.833130
3.35,73.790538,20.341247
3.40,71.604571,20.862267
3.45,69.465964,21.396754
3.50,67.378137,21.945303
3.55,65.343852,22.508542
3.60,63.365236,23.087133
3.65,61.443816,23.681770
3.70,59.580563,24.293189
3.75,57.775946,24.922160
3.80,56.029985,25.569500
3.85,54.342312,26.236064
3.90,52.712222,26.922756
3.95,51.138730,27.630527
4.00,49.620624,28.360377
4.05,48.156503,29.113357
4.10,46.744827,29.890574
4.15,45.383950,30.693189
4.20,44.072150,31.522421
4.25,42.807662,32.379546
4.30,41.588695,33.265901
4.35,40.413456,34.182882
4.40,39.280165,35.131946
4.45,38.187066,36.114607
4.50,37.132438,37.132438
4.55,36.114607,38.187066
4.60,35.131946,39.280165
4.65,34.182882,40.413456
4.70,33.265901,41.588695
4.75,32.379546,42.807662
4.80,31.522421,44.072150
4.85,30.693189,45.383950
4.90,29.890574,46.744827
4.95,29.113357,48.156503
5.00,28.360377,49.620624
5.05,27.630527,51.138730
5.10,26.922756,52.712222
5.15,26.236064,54.342312
5.20,25.569500,56.029985
5.25,24.922160,57.775946
5.30,24.293189,59.580563
5.35,23.681770,61.443816
5.40,23.087133,63.365236
5.45,22.508542,65.343852
5.50,21.945303,67.378137
5.55,21.396754,69.465964
5.60,20.862267,71.604571
5.65,20.341247,73.790538
5.70,19.833130,76.019783
5.75,19.337376,78.287574
5.80,18.853477,80.588568
5.85,18.380946,82.916862
5.90,17.919325,85.266079
5.95,17.468174,87.629464
6.00,17.027076,90.000000
6.05,16.595636,87.629464
6.10,16.173476,85.266079
6.15,15.760238,82.916862
6.20,15.355579,80.588568
6.25,14.959174,78.287574
6.30,14.570712,76.019783
6.35,14.189898,73.790538
6.40,13.816450,71.604571
6.45,13.450099,69.465964
6.50,13.090587,67.378137
6.55,12.737671,65.343852
6.60,12.391115,63.365236
6.65,12.050696,61.443816
6.70,11.716200,59.580563
6.75,11.387423,57.775946
6.80,11.064170,56.029985
6.85,10.746254,54.342312
6.90,10.433495,52.712222
6.95,10.125722,51.138730
7.00,9.822771,49.620624
7.05,9.524485,48.156503
7.10,9.230714,46.744827
7.15,8.941312,45.383950
7.20,8.656141,44.072150
7.25,8.375068,42.807662
7.30,8.097965,41.588695
7.35,7.824710,40.413456
7.40,7.555185,39.280165
7.45,7.289277,38.187066
7.50,7.026877,37.132438
7.55,6.767881,36.114607
7.60,6.512188,35.131946
7.65,6.259701,34.182882
7.70,6.010328,33.265901
7.75,5.763978,32.379546
7.80,5.520566,31.522421
7.85,5.280009,30.693189
7.90,5.042226,29.890574
7.95,4.807140,29.113357
8.00,4.574676,28.360377
8.05,4.344764,27.630527
8.10,4.117334,26.922756
8.15,3.892318,26.236064
8.20,3.669653,25.569500
8.25,3.449277,24.922160
8.30,3.231129,24.293189
8.35,3.015151,23.681770
8.40,2.801287,23.087133
8.45,2.589483,22.508542
8.50,2.379687,21.945303
8.55,2.171847,21.396754
8.60,1.965915,20.862267
8.65,1.761844,20.341247
8.70,1.559587,19.833130
8.75,1.359100,19.337376
8.80,1.160340,18.853477
8.85,0.963266,18.380946
8.90,0.767836,17.919325
8.95,0.574013,17.468174
9.00,0.381758,17.027076
