phase,i53,i85
0,0.000000,0.000000
1,0.798621,0.996194
2,1.597154,1.992386
3,2.395510,2.988574
4,3.193601,3.984754
5,3.991339,4.980925
6,4.788633,5.977085
7,5.585394,6.973230
8,6.381530,7.969359
9,7.176951,8.965469
10,7.971563,9.961558
11,8.765273,10.957623
12,9.557984,11.953661
13,10.349601,12.949669
14,11.140025,13.945646
15,11.929155,14.941588
16,12.716891,15.937491
17,13.503127,16.933354
18,14.287757,17.929173
19,15.070673,18.924944
20,15.851763,19.920664
21,16.630913,20.916330
22,17.408006,21.911938
23,18.182922,22.907484
24,18.955538,23.902964
25,19.725726,24.898374
26,20.493356,25.893709
27,21.258293,26.888964
28,22.020398,27.884135
29,22.779528,28.879216
30,23.535535,29.874201
31,24.288266,30.869085
32,25.037563,31.863862
33,25.783262,32.858524
34,26.525195,33.853065
35,27.263187,34.847477
36,27.997055,35.841752
37,28.726612,36.835881
38,29.451663,37.829855
39,30.172006,38.823664
40,30.887431,39.817297
41,31.597722,40.810743
42,32.302651,41.803988
43,33.001986,42.797021
44,33.695483,43.789825
45,34.382890,44.782385
46,35.063946,45.774684
47,35.738378,46.766703
48,36.405906,47.758421
49,37.066236,48.749815
50,37.719066,49.740862
51,38.364081,50.731534
52,39.000957,51.721801
53,39.629355,52.711629
54,40.248928,53.700983
55,40.859314,54.689822
56,41.460140,55.678099
57,42.051021,56.665766
58,42.631560,57.652764
59,43.201347,58.639031
60,43.759962,59.624493
61,44.306971,60.609070
62,44.841930,61.592669
63,45.364385,62.575183
64,45.873869,63.556492
65,46.369909,64.536454
66,46.852020,65.514908
67,47.319712,66.491665
68,47.772487,67.466502
69,48.209842,68.439160
70,48.631271,69.409328
71,49.036268,70.376637
72,49.424323,71.340641
73,49.794932,72.300800
74,50.147594,73.256451
75,50.481815,74.206776
76,50.797111,75.150750
77,51.093010,76.087081
78,51.369055,77.014115
79,51.624808,77.929709
80,51.859850,78.831047
81,52.073789,79.714382
82,52.266256,80.574649
83,52.436916,81.404918
84,52.585464,82.195610
85,52.711629,82.933426
86,52.815180,83.600051
87,52.895923,84.171009
88,52.953707,84.615779
89,52.988421,84.901230
90,53.000000,85.000000
91,52.988421,84.901230
92,52.953707,84.615779
93,52.895923,84.171009
94,52.815180,83.600051
95,52.711629,82.933426
96,52.585464,82.195610
97,52.436916,81.404918
98,52.266256,80.574649
99,52.073789,79.714382
