minutes,h550,h1200
-8.00,0.000000,7.003675
-7.95,0.000000,7.206845
-7.90,0.000000,7.411326
-7.85,0.000000,7.617138
-7.80,0.000000,7.824303
-7.75,0.000000,8.032842
-7.70,0.000000,8.242777
-7.65,0.000000,8.454132
-7.60,0.000000,8.666928
-7.55,0.000000,8.881191
-7.50,0.000000,9.096942
-7.45,0.000000,9.314208
-7.40,0.000000,9.533012
-7.35,0.000000,9.753381
-7.30,0.000000,9.975340
-7.25,0.000000,10.198916
-7.20,0.000000,10.424136
-7.15,0.000000,10.651028
-7.10,0.000000,10.879620
-7.05,0.000000,11.109941
-7.00,0.000000,11.342020
-6.95,0.000000,11.575887
-6.90,0.000000,11.811574
-6.85,0.000000,12.049111
-6.80,0.000000,12.288530
-6.75,0.000000,12.529865
-6.70,0.000000,12.773149
-6.65,0.000000,13.018415
-6.60,0.000000,13.265699
-6.55,0.000000,13.515036
-6.50,0.000000,13.766463
-6.45,0.000000,14.020016
-6.40,0.000000,14.275735
-6.35,0.000000,14.533657
-6.30,0.000000,14.793823
-6.25,0.000000,15.056273
-6.20,0.000000,15.321048
-6.15,0.000000,15.588190
-6.10,0.001806,15.857744
-6.05,0.191034,16.129753
-6.00,0.381758,16.404262
-5.95,0.574013,16.681317
-5.90,0.767836,16.960967
-5.85,0.963266,17.243258
-5.80,1.160340,17.528240
-5.75,1.359100,17.815964
-5.70,1.559587,18.106482
-5.65,1.761844,18.399845
-5.60,1.965915,18.696107
-5.55,2.171847,18.995324
-5.50,2.379686,19.297552
-5.45,2.589483,19.602849
-5.40,2.801287,19.911272
-5.35,3.015151,20.222882
-5.30,3.231129,20.537741
-5.25,3.449277,20.855911
-5.20,3.669653,21.177456
-5.15,3.892318,21.502441
-5.10,4.117334,21.830934
-5.05,4.344764,22.163003
-5.00,4.574676,22.498718
-4.95,4.807140,22.838150
-4.90,5.042226,23.181372
-4.85,5.280009,23.528458
-4.80,5.520566,23.879485
-4.75,5.763978,24.234531
-4.70,6.010328,24.593674
-4.65,6.259701,24.956996
-4.60,6.512188,25.324579
-4.55,6.767881,25.696508
-4.50,7.026877,26.072869
-4.45,7.289277,26.453750
-4.40,7.555185,26.839241
-4.35,7.824710,27.229433
-4.30,8.097965,27.624420
-4.25,8.375068,28.024296
-4.20,8.656141,28.429159
-4.15,8.941312,28.839108
-4.10,9.230714,29.254243
-4.05,9.524485,29.674667
-4.00,9.822771,30.100484
-3.95,10.125722,30.531801
-3.90,10.433495,30.968725
-3.85,10.746254,31.411367
-3.80,11.064170,31.859839
-3.75,11.387423,32.314253
-3.70,11.716200,32.774725
-3.65,12.050696,33.241373
-3.60,12.391115,33.714315
-3.55,12.737671,34.193671
-3.50,13.090587,34.679564
-3.45,13.450099,35.172116
-3.40,13.816450,35.671453
-3.35,14.189898,36.177701
-3.30,14.570712,36.690987
-3.25,14.959174,37.211440
-3.20,15.355579,37.739190
-3.15,15.760238,38.274367
-3.10,16.173476,38.817102
-3.05,16.595636,39.367527
-3.00,17.027076,39.925775
-2.95,17.468173,40.491978
-2.90,17.919325,41.066267
-2.85,18.380946,41.648777
-2.80,18.853477,42.239637
-2.75,19.337376,42.838980
-2.70,19.833129,43.446935
-2.65,20.341247,44.063630
-2.60,20.862267,44.689193
